year,id,ch_name,en_name,type,duration,magnitude,hpa,wind_speed,r7_km,r10_km,alert_level
,,,,,1989/7/17 21:20,,,,,,
1989,198903,白蘭黛,BRENDA,---,1989/5/18 15:00,中度,970,35,200,80,9
,,,,,1989/5/20 14:35,,,,,,
1988,198822,魯碧,RUBY,---,1988/10/25 16:00,中度,916,48,300,150,8
,,,,,1988/10/27 09:15,,,,,,
1988,198821,派特,PAT,---,1988/10/19 15:50,中度,968,38,200,50,8
,,,,,1988/10/21 09:00,,,,,,
1988,198820,歐黛莎,ODESSA,---,1988/10/12 15:50,輕度,954,25,150,---,7
,,,,,1988/10/14 03:40,,,,,,
1988,198819,尼爾森,NELSON,---,1988/10/3 21:15,強烈,898,63,300,120,10
,,,,,1988/10/6 03:40,,,,,,
1988,198817,李尹,LEE,---,1988/9/23 09:50,輕度,984,28,150,50,5
,,,,,1988/9/24 09:45,,,,,,
1988,198816,克蒂,KIT,---,1988/9/21 10:15,輕度,984,28,150,50,5
,,,,,1988/9/22 09:05,,,,,,
1988,198805,華倫,WARREN,---,1988/7/17 08:45,強烈,927,55,250,120,11
,,,,,1988/7/19 21:00,,,,,,
1988,198802,蘇珊,SUSAN,9,1988/5/31 21:15,中度,963,40,150,50,9
,,,,,1988/6/2 20:55,,,,,,
1987,198720,琳恩,LYNN,5,1987/10/22 16:05,強烈,898,53,400,150,20
,,,,,1987/10/27 09:50,,,,,,
1987,198714,傑魯得,GERALD,5,1987/9/7 16:10,強烈,937,51,300,150,15
,,,,,1987/9/11 03:55,,,,,,
1987,198711,黛納,DINAH,---,1987/8/27 15:15,強烈,910,62,400,200,12
,,,,,1987/8/30 08:30,,,,,,
1987,198710,凱瑞,CARY,---,1987/8/15 09:40,中度,968,38,200,80,16
,,,,,1987/8/19 03:20,,,,,,
1987,198708,亞力士,ALEX,6,1987/7/25 15:10,中度,976,35,250,100,10
,,,,,1987/7/27 21:35,,,,,,
1987,198706,費南,VERNON,6,1987/7/19 15:15,中度,981,33,200,120,11
,,,,,1987/7/22 04:25,,,,,,
1987,198705,賽洛瑪,THELMA,---,1987/7/11 10:00,強烈,911,60,350,150,16
,,,,,1987/7/15 04:10,,,,,,
1986,198617,艾倫,ELLEN,---,1986/10/14 14:50,中度,970,40,250,80,14
,,,,,1986/10/17 20:35,,,,,,
1986,198613,艾貝,ABBY,3,1986/9/16 09:50,強烈,943,51,400,200,18
,,,,,1986/9/20 15:25,,,,,,
1986,198612,韋恩,WAYNE,特殊,1986/8/20 20:50,中度,951,38,200,100,12
,,,,,1986/8/23 15:15,,,,,,
,,,,,1986/8/24 08:10,輕度,951,28,120,---,4
,,,,,1986/8/25 04:35,,,,,,
,,,,,1986/8/28 15:25,中度,951,40,150,50,26
,,,,,1986/9/3 20:35,,,,,,
1986,198611,薇拉,VERA,---,1986/8/25 09:55,中度,923,45,400,200,10
,,,,,1986/8/27 15:58,,,,,,
1986,198609,莎拉,SARAH,---,1986/8/1 09:20,輕度,986,23,150,---,9
,,,,,1986/8/3 09:50,,,,,,
1986,198607,佩姬,PEGGY,5,1986/7/7 09:00,強烈,900,70,400,200,18
,,,,,1986/7/11 15:15,,,,,,
1986,198605,南施,NANCY,6,1986/6/22 15:25,中度,955,38,200,50,9
,,,,,1986/6/24 15:00,,,,,,
1985,198519,白蘭黛,BRENDA,6,1985/10/2 16:05,中度,964,45,300,150,11
,,,,,1985/10/5 04:00,,,,,,
1985,198516,衛奧,VAL,5,1985/9/15 16:00,輕度,992,25,150,---,11
,,,,,1985/9/17 21:15,,,,,,
1985,198515,蒂絲,TESS,---,1985/9/3 16:00,中度,967,33,200,50,7
,,,,,1985/9/5 04:00,,,,,,
1985,198512,派特,PAT,---,1985/8/27 15:30,中度,961,35,250,100,12
,,,,,1985/8/30 09:40,,,,,,
1985,198510,尼爾森,NELSON,1,1985/8/20 15:30,中度,961,48,300,120,15
,,,,,1985/8/24 04:35,,,,,,
1985,198506,傑夫,JEFF,1,1985/7/28 09:00,中度,967,35,200,80,11
,,,,,1985/7/30 20:50,,,,,,
1985,198504,海爾,HAL,5,1985/6/21 09:50,中度,955,48,350,250,12
,,,,,1985/6/24 04:00,,,,,,
1984,198425,比爾,BILL,---,1984/11/17 15:00,強烈,910,51,200,100,6
,,,,,1984/11/18 21:00,,,,,,
1984,198412,裘恩,JUNE,5,1984/8/28 16:10,輕度,983,32,250,---,11
,,,,,1984/8/31 04:00,,,,,,
1984,198410,郝麗,HOLLY,6,1984/8/17 15:00,中度,964,35,350,200,10
,,,,,1984/8/19 21:30,,,,,,
1984,198409,傑魯得,GERALD,---,1984/8/16 15:00,輕度,985,28,180,---,12
,,,,,1984/8/19 09:50,,,,,,
1984,198408,芙瑞達,FREDA,2,1984/8/6 15:10,輕度,982,25,200,---,8
,,,,,1984/8/8 09:40,,,,,,
1984,198403,亞力士,ALEX,6,1984/7/2 21:00,中度,980,35,150,80,8
